CID,Date_Key,Date,Day,Weekday,WeekDayName,IsWeekend,IsHoliday,HolidayText,DOWInMonth,DayOfYear,WeekOfMonth,WeekOfYear,ISOWeekOfYear,Month,MonthName,Quarter,QuarterName,Year,MMYYYY,MonthYear,order_name,OrderDate,order_number,LineID,sku,name,price,title,amount,quantity,product_id,variant_id,variant_title,total_discount,ClientID,options,barcode,InventoryItemId,InventoryQuantity,vendor,product_type,handle,status,CustomerID,first_name,last_name,email,currency,TotalSpent,AddressID,City,Province,Country
50,20150101.0,2015-01-01,1.0,5.0,Thursday,0.0,1.0,New Year's Day,1.0,1.0,1.0,1.0,1.0,1.0,January,1.0,First,2015.0,012015,Jan2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,20150102.0,2015-01-02,2.0,6.0,Friday,0.0,0.0,,1.0,2.0,1.0,1.0,1.0,1.0,January,1.0,First,2015.0,012015,Jan2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,20150103.0,2015-01-03,3.0,7.0,Saturday,1.0,0.0,,1.0,3.0,1.0,1.0,1.0,1.0,January,1.0,First,2015.0,012015,Jan2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,20150104.0,2015-01-04,4.0,1.0,Sunday,1.0,0.0,,1.0,4.0,2.0,2.0,1.0,1.0,January,1.0,First,2015.0,012015,Jan2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,20150105.0,2015-01-05,5.0,2.0,Monday,0.0,0.0,,1.0,5.0,2.0,2.0,2.0,1.0,January,1.0,First,2015.0,012015,Jan2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,20150106.0,2015-01-06,6.0,3.0,Tuesday,0.0,0.0,,1.0,6.0,2.0,2.0,2.0,1.0,January,1.0,First,2015.0,012015,Jan2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,20150107.0,2015-01-07,7.0,4.0,Wednesday,0.0,0.0,,1.0,7.0,2.0,2.0,2.0,1.0,January,1.0,First,2015.0,012015,Jan2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,20150108.0,2015-01-08,8.0,5.0,Thursday,0.0,0.0,,2.0,8.0,2.0,2.0,2.0,1.0,January,1.0,First,2015.0,012015,Jan2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,20150109.0,2015-01-09,9.0,6.0,Friday,0.0,0.0,,2.0,9.0,2.0,2.0,2.0,1.0,January,1.0,First,2015.0,012015,Jan2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,20150110.0,2015-01-10,10.0,7.0,Saturday,1.0,0.0,,2.0,10.0,2.0,2.0,2.0,1.0,January,1.0,First,2015.0,012015,Jan2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,20150111.0,2015-01-11,11.0,1.0,Sunday,1.0,0.0,,2.0,11.0,3.0,3.0,2.0,1.0,January,1.0,First,2015.0,012015,Jan2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,20150112.0,2015-01-12,12.0,2.0,Monday,0.0,0.0,,2.0,12.0,3.0,3.0,3.0,1.0,January,1.0,First,2015.0,012015,Jan2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,20150113.0,2015-01-13,13.0,3.0,Tuesday,0.0,0.0,,2.0,13.0,3.0,3.0,3.0,1.0,January,1.0,First,2015.0,012015,Jan2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,20150114.0,2015-01-14,14.0,4.0,Wednesday,0.0,0.0,,2.0,14.0,3.0,3.0,3.0,1.0,January,1.0,First,2015.0,012015,Jan2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
